FundCode,port_mgr_name,port_mgr_role_desc,effective_from_date,display_order
64,Michael Keough,Portfolio Manager,2015-12-31T00:00:00.000Z,2
USGREF,Tim Gibson,Portfolio Manager,2017-06-05T00:00:00.000Z,2
NPOT,Tim Winstone,Portfolio Manager,2022-04-30T00:00:00.000Z,3
148,Addison Maier,Portfolio Manager,2024-03-01T00:00:00.000Z,2
ACAP,Robert Schramm-Fuchs,Portfolio Manager,2018-04-30T00:00:00.000Z,1
UGEI,Ben Lofthouse,Portfolio Manager,2014-11-30T00:00:00.000Z,1
GCOSPE,John Bennett,Portfolio Manager,2010-01-31T00:00:00.000Z,3
847,Greg Wilensky,Portfolio Manager,2019-11-18T00:00:00.000Z,2
LOWIUE,James Henderson,Portfolio Manager,1990-01-01T00:00:00.000Z,1
60,John Jordan,Portfolio Manager,2024-01-26T00:00:00.000Z,3
JHUSSE,Aaron Scully,Portfolio Manager,2022-09-20T00:00:00.000Z,2
100,Justin Tugman,Portfolio Manager,2009-03-13T00:00:00.000Z,1
81,Michael Keough,Portfolio Manager,2019-12-03T00:00:00.000Z,3
GMSF,Steve Cain,Portfolio Manager,2012-01-01T00:00:00.000Z,2
GFFOFF,John Jordan,Portfolio Manager,2017-09-01T00:00:00.000Z,1
HC5O,Tihana Ibrahimpasic,Portfolio Manager,2021-01-01T00:00:00.000Z,1
TABAPS,Tabula Investment Management Limited,Portfolio Manager,2023-12-21T00:00:00.000Z,2
64,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
EMKARF,Dylan Bourke,Portfolio Manager,2020-07-01T00:00:00.000Z,2
GUSOGF,Nick Schommer,Portfolio Manager,2017-12-08T00:00:00.000Z,2
DTFLUX,Mark Richardson,Portfolio Manager,2023-10-02T00:00:00.000Z,1
JHGLSO,Daniel Lyons,Portfolio Manager,2023-09-14T00:00:00.000Z,2
JHGLSO,Andy Acker,Portfolio Manager,2023-09-14T00:00:00.000Z,1
TCLIUE,Job Curtis,Portfolio Manager,1991-01-01T00:00:00.000Z,1
HAINFT,Shan Kwee,Portfolio Manager,2018-12-11T00:00:00.000Z,2
