ISIN,AMC (M* Management Fee)
IE00B6Y5G934,1.0
IE00B6Y5KJ15,1.25
IE00B6Y7ZF85,0.55
IE00B755XC12,0.8
IE00B775H168,1.0
IE00B7D1PH00,0.5
IE00B7GTJV38,1.0
IE00B7GTM146,1.0
IE00B7GTM815,1.0
IE00B7KXQ091,1.0
IE00B7Q0MG23,1.0
IE00B7VGZP57,0.8
IE00B7VHC356,1.25
IE00B808G672,0.35
IE00B83BYG91,1.0
IE00B8DQ2F94,
IE00B8GQ0T69,0.8
IE00B8W85S00,0.65
IE00B8XY4Y67,0.6
IE00B9520L40,0.8
IE00B95B5D80,0.8
IE00BD34XY49,0.55
IE00BD351Z49,0.4
IE00BD353363,0.4
IE00BD355P21,0.55
IE00BD358420,0.55
IE00BD359501,0.55
IE00BD359618,0.55
IE00BD3RYX91,0.4
IE00BD3RYY09,0.5
IE00BD860F54,0.8
IE00BD860G61,0.8
IE00BD860H78,0.8
IE00BD860J92,0.8
IE00BD861K72,0.55
IE00BD861N04,0.8
IE00BD8D5Z14,0.4
IE00BD8GP721,0.8
IE00BDFDKX76,1.0
IE00BF2GLT67,1.0
IE00BF2GLV89,1.0
IE00BF2GLW96,1.0
IE00BF2GM042,1.5
IE00BF2GM158,1.25
IE00BFRSTF92,0.6
IE00BFRSTG00,0.6
IE00BFRSYJ83,0.8
IE00BFRSYK98,0.8
IE00BFRSYS74,0.8
IE00BFRSYT81,0.8
IE00BFRSYW11,0.8
IE00BFRSYX28,0.4
IE00BFRSYY35,0.4
IE00BFRSYZ42,0.65
IE00BFRSZ065,0.65
IE00BFRSZ172,0.8
IE00BFRSZ289,0.8
IE00BFRSZ511,0.8
IE00BFRSZ628,0.8
IE00BFSS7K90,1.0
IE00BFSS7M15,1.0
IE00BFSS7W13,0.8
IE00BFSS8623,0.8
IE00BFSS8Q28,1.0
IE00BFTCP959,1.5
IE00BFTCPJ56,1.5
IE00BHC8SV77,1.5
IE00BJJMRX11,1.0
IE00BJJMRY28,1.0
IE00BJJMRZ35,1.5
IE00BJT1NW94,1.5
IE00BJVNGR98,0.7
IE00BJVNGS06,0.7
IE00BJVNGT13,0.7
IE00BJVNGV35,0.7
IE00BJVNGW42,0.7
IE00BJVNGX58,0.7
IE00BJVNGY65,0.7
IE00BJVNGZ72,0.7
IE00BJVNH100,0.6
IE00BJVNH654,0.8
IE00BJVNH761,0.8
IE00BJXT4158,0.7
IE00BJXT4265,0.7
IE00BK26DX94,1.0
IE00BK7YST97,0.13
IE00BK7YSV10,0.13
IE00BKDM8C03,0.65
IE00BKKNGZ56,0.6
IE00BKKNH416,0.6
IE00BLK24558,0.7
IE00BLTVXS96,0.65
IE00BLWF5C65,0.65
IE00BLWF5D72,0.65
IE00BLWF5L56,0.5
IE00BLWF5N70,0.65
IE00BLWF5Q02,0.65
IE00BLWF5R19,0.5
IE00BLY1N394,0.65
IE00BLY1N519,0.65
IE00BLY1N626,0.65
IE00BLY1NC86,0.65
IE00BLY1NF18,0.65
IE00BLY27S52,0.65
IE00BM67H965,0.65
IE00BM7WZP25,
IE00BM9M0223,0.25
IE00BM9M0330,0.25
IE00BM9M0447,0.18
IE00BM9M0553,0.18
IE00BM9M0660,0.13
IE00BM9M0777,0.13
IE00BMDXR423,1.0
IE00BMF1KR89,0.6
IE00BMF1KS96,0.65
IE00BMXMTS70,1.5
IE00BMXMTT87,0.8
IE00BMXMTZ48,1.5
IE00BMXMV038,1.5
IE00BMXMV145,1.5
IE00BN29S457,0.65
IE00BN29S564,1.0
IE00BN29S671,0.8
IE00BN29S788,0.8
IE00BN29S895,1.0
IE00BN29S903,0.55
IE00BN29SB22,0.7
IE00BRJ9D748,0.8
IE00BRJG6X20,1.5
IE00BRJG6Y37,0.8
IE00BRJG7840,0.8
IE00BZ76W439,0.55
IE00BZ771832,0.55
IE00BZ775C54,0.7
IE00BZ775F85,0.7
IE00BZ777T61,0.7
IE00BZ77D437,0.7
JE00B1GXH751,0.75
LU0011889846,1.2
LU0011889929,1.2
LU0011890265,1.2
LU0011890851,1.2
LU0046217351,1.2
LU0070992663,1.2
LU0088927925,1.2
LU0113993041,1.0
LU0113993397,1.0
LU0113993553,1.0
LU0113993801,1.5
LU0113993983,1.0
LU0135928025,1.5
LU0135928298,1.5
LU0135928611,1.5
LU0150924321,1.5
LU0196034317,1.0
LU0196034663,1.0
LU0196034820,1.0
LU0196035553,1.0
LU0196035983,1.0
LU0196036015,1.0
LU0200076213,1.5
LU0200076999,1.5
LU0200077294,1.5
LU0200083342,1.5
LU0201071890,1.5
LU0201073169,1.5
LU0201075453,1.5
LU0201078713,1.5
LU0209137206,1.2
LU0209137388,1.2
LU0209137628,1.0
LU0209156925,1.2
LU0209157493,1.0
LU0209157659,1.0
LU0209158467,1.2
LU0209158541,1.0
LU0210855028,1.5
LU0210856778,1.5
LU0229494629,1.2
LU0229494975,1.2
LU0229495352,1.0
LU0247695934,1.2
LU0247697476,1.2
LU0247697633,1.2
LU0247698441,1.2
LU0247699092,1.2
LU0247699415,1.2
LU0247699761,1.2
LU0247699928,1.2
LU0247700106,1.2
LU0264597450,1.2
LU0264597617,1.2
LU0264598268,1.0
LU0264598342,1.2
LU0264605907,1.2
LU0264606111,1.2
LU0264606467,1.0
LU0264606624,1.2
LU0264738294,1.2
LU0264739185,1.2
LU0277002928,1.0
LU0298310920,1.0
LU0327786744,1.2
LU0327786827,1.2
LU0327787049,1.0
LU0327787395,1.2
LU0330915165,1.0
LU0330915322,1.0
LU0451950314,0.75
LU0451950405,0.75
LU0451950587,0.75
LU0451950660,0.75
LU0451950744,0.75
LU0490769915,1.0
LU0490786174,1.5
LU0503932328,1.2
LU0503932591,1.2
LU0503932674,1.0
LU0503932831,1.2
LU0504465815,1.75
LU0506197614,1.2
LU0506197887,1.2
LU0506198265,1.0
LU0506198851,1.2
LU0506199156,1.2
LU0506199586,1.0
LU0506436111,1.75
LU0572939261,1.2
LU0572939691,1.2
LU0572940194,1.2
LU0572940350,1.2
LU0572942307,1.2
LU0572943370,1.0
LU0572944774,1.2
LU0572944931,1.2
LU0572949575,0.75
LU0572951639,1.0
LU0572952017,1.2
LU0572952280,1.2
LU0572953684,1.0
LU0572954062,1.2
LU0572961604,1.2
LU0579024422,2.0
LU0580143203,1.0
LU0593293326,0.75
LU0622223799,1.2
LU0622224094,1.2
LU0642270333,1.0
LU0642271901,1.2
LU0642272388,1.0
LU0642280134,0.75
LU0642280647,0.75
LU0642281702,0.75
LU0756065081,0.75
LU0756065164,0.75
LU0756065321,0.75
LU0756065834,0.75
LU0756066568,1.0
LU0756068184,0.75
LU0828244219,1.2
LU0828813104,1.2
LU0828813369,0.6
LU0828813526,0.6
LU0828813872,0.6
LU0828814094,0.6
LU0828815067,0.75
LU0828815224,0.75
LU0828815570,0.75
LU0828816461,0.75
LU0828817600,0.75
LU0828818087,0.75
LU0828818913,0.75
LU0828820901,0.75
LU0828821115,0.75
LU0892273995,0.6
LU0892274290,0.38
LU0892274530,0.6
LU0892274704,0.75
LU0892274969,0.6
LU0892275263,0.6
LU0892275776,1.2
LU0892276741,1.0
LU0942194779,0.6
LU0942195156,0.6
LU0942195230,0.75
LU0942195313,0.6
LU0942195586,0.6
LU0942195669,0.6
LU0953998514,1.5
LU0953998605,1.0
LU0953998860,0.65
LU0953999082,1.0
LU0966752833,0.75
LU0966752916,0.75
LU0966753138,0.75
LU0973119513,0.85
LU0973119604,0.85
LU0973119786,0.85
LU0973119869,0.75
LU0973214777,0.75
LU0976556265,0.6
LU0976556422,0.6
LU0976556695,0.6
LU0976556851,1.2
LU0976556935,1.2
LU0976557073,0.6
LU0976557156,0.6
LU0976557230,0.6
LU0978624194,0.75
LU0978624277,0.75
LU0978624350,0.75
LU0978624434,0.75
LU0989423784,0.75
LU0995107140,0.6
LU0995139184,0.9
LU0995139267,0.9
LU0995139341,0.9
LU0995139424,0.75
LU0995139697,0.75
LU0995140356,0.75
LU0995140430,1.5
LU0999457616,0.75
LU1003273924,0.85
LU1004011935,0.4
LU1005137069,0.6
LU1006566639,0.38
LU1039938227,1.2
LU1041546547,1.5
LU1041547511,1.5
LU1041547941,1.5
LU1047639791,0.7
LU1059379971,1.2
LU1068766655,0.38
LU1073139583,1.2
LU1073139666,1.0
LU1077968276,1.2
LU1086934103,1.0
LU1120392524,1.0
LU1120392797,0.6
LU1120392870,1.2
LU1120398216,1.2
LU1125349974,0.75
LU1125355518,0.65
LU1125359346,0.65
LU1125367018,0.65
LU1129860224,0.0
LU1136954127,0.6
LU1142999959,1.0
LU1161213365,0.65
LU1169991020,1.2
LU1179331720,1.2
LU1183228433,1.0
LU1196326760,0.65
LU1205757914,0.6
LU1214468123,1.0
LU1230490713,1.2
LU1259344122,1.2
LU1268005920,1.0
LU1272163806,0.38
LU1273675584,0.75
LU1276832042,1.5
LU1276832125,0.75
LU1276832398,0.75
LU1276832471,0.75
LU1276832554,0.6
LU1276832638,0.6
LU1276832711,0.6
LU1276832984,0.6
LU1276833016,0.6
LU1276833107,0.38
LU1276833289,0.38
LU1276833362,0.38
LU1276833446,0.38
LU1277655707,1.5
LU1280371284,0.75
LU1282634382,1.5
LU1291149836,1.2
LU1291885702,1.0
LU1293640501,0.6
LU1293647423,0.75
LU1301506678,1.0
LU1316542601,1.2
LU1316542783,1.2
LU1316542866,1.2
LU1316543088,1.2
LU1316543674,1.2
LU1321015403,0.75
LU1329696717,1.0
LU1354345586,1.0
LU1368736440,1.0
LU1372839644,0.75
LU1377839755,0.9
LU1377839839,1.5
LU1387767350,0.4
LU1387767517,0.7
LU1387767947,0.38
LU1387768325,0.4
LU1432398888,0.9
LU1446762467,1.0
LU1456297057,1.0
LU1487946425,0.4
LU1492019390,0.4
LU1492020059,0.38
LU1498519096,1.0
LU1508302814,0.4
LU1519019134,1.1
LU1519019563,0.85
LU1519019647,0.85
LU1519019720,0.85
LU1526027666,0.75
LU1526027823,0.75
LU1562333077,0.4
LU1572378708,1.2
LU1572379003,1.0
LU1572380191,1.2
LU1611731263,1.2
LU1618271776,0.75
LU1626188228,1.2
LU1626188814,1.0
LU1627460659,0.75
LU1627460816,0.75
LU1627461467,0.75
LU1627461624,0.75
LU1627462861,0.38
LU1627463083,0.38
LU1627463596,0.65
LU1627464305,0.65
LU1627464727,0.5
LU1627465534,0.5
LU1627466425,0.5
LU1627466771,0.5
LU1627467159,0.75
LU1627920678,0.75
LU1627921569,0.75
LU1665086226,1.0
LU1678960227,0.75
LU1678960656,0.6
LU1678960730,0.6
LU1678960813,0.6
LU1678960904,0.6
LU1678961118,0.6
LU1678961381,0.38
LU1678961548,0.6
LU1678961621,0.6
LU1678962272,0.38
LU1678962439,0.38
LU1678962512,0.38
LU1678962942,0.6
LU1678963080,0.6
LU1678963163,0.6
LU1678963247,0.6
LU1678963320,0.6
LU1678963593,0.6
LU1678963759,0.75
LU1678964138,0.6
LU1678964211,0.6
LU1678964302,0.6
LU1681824733,1.5
LU1807432866,1.2
LU1834996701,0.75
LU1834997006,0.75
LU1897414303,1.2
LU1897414485,0.75
LU1897414568,0.9
LU1897414642,0.5
LU1897415292,0.5
LU1914905846,1.0
LU1914905929,1.5
LU1963063232,1.0
LU1963063406,0.5
LU1963063828,0.5
LU1983259539,1.2
LU1983259612,0.6
LU1983259703,0.75
LU1983259885,1.2
LU1983259968,0.6
LU1983260115,1.2
LU1983260206,0.6
LU1983260388,0.75
LU1983260545,
LU1983261782,1.2
LU1983261865,0.6
LU1983261949,0.85
LU1983262087,
LU1983262830,0.45
LU1983262913,
LU1984711439,0.65
LU1984711512,1.2
LU1984711603,0.6
LU1984711785,0.75
LU1984711868,0.65
LU1984711942,0.75
LU1984712320,1.2
LU1984712593,0.6
LU1984712676,0.85
LU1984712759,1.2
LU1984713211,0.65
LU1988886211,1.2
LU1988886302,0.6
LU1988886484,0.75
LU1988887292,1.2
LU1988903081,0.75
LU1992142411,1.5
LU1992150430,1.0
LU2031319176,0.65
LU2031319259,0.6
LU2031319333,1.0
LU2031319416,0.38
LU2044158546,0.85
LU2044158629,0.3
LU2044158892,0.65
LU2046586686,0.75
LU2046586769,0.75
LU2046586843,0.75
LU2046587064,0.5
LU2051454275,0.38
LU2065174687,1.2
LU2080999225,0.5
LU2114516532,1.5
LU2114516615,1.0
LU2114516706,1.0
LU2114516888,0.65
LU2114516961,1.5
LU2114517001,1.0
LU2114517183,1.0
LU2114517266,0.65
LU2114517340,
LU2116350021,1.0
LU2116350294,0.65
LU2124902292,1.0
LU2124902615,
LU2124972667,1.5
LU2124972741,1.0
LU2124972824,0.38
LU2133172291,0.75
LU2142073621,1.0
LU2155484574,0.5
LU2155484657,
LU2155484731,
LU2155484814,0.5
LU2155484905,0.5
LU2155485209,0.5
LU2183130942,0.5
LU2183131163,0.38
LU2183131247,1.2
LU2210000647,0.75
LU2210004557,0.75
LU2210026444,0.48
LU2210027095,0.48
LU2210027335,0.48
LU2210027509,0.48
LU2210036088,0.48
LU2210151267,1.1
LU2214901006,0.85
LU2214901188,0.4
LU2214901261,0.75
LU2214901345,0.38
LU2214901428,0.75
LU2214901691,0.5
LU2214901774,1.2
LU2214901857,0.6
LU2214901931,0.75
LU2214902079,0.65
LU2214902152,
LU2226123144,1.2
LU2226123227,1.2
LU2226123490,1.2
LU2239851657,0.75
LU2248076437,1.0
LU2253109396,0.75
LU2255682606,0.38
LU2257828140,1.5
LU2260665604,1.0
LU2304361186,1.7
LU2304361343,1.2
LU2333587033,0.75
LU2342234379,0.38
LU2342234452,0.5
LU2342234536,0.75
LU2342241150,1.2
LU2342241234,0.45
LU2342241317,0.7
LU2342241408,0.85
LU2342241580,0.7
LU2342241663,1.2
LU2342241747,0.45
LU2342242042,0.85
LU2342242125,0.7
LU2342242398,1.2
LU2342242471,0.45
LU2342242554,0.65
LU2342242638,0.75
LU2342242711,0.6
LU2342242802,1.2
LU2342243016,0.65
LU2342243107,0.75
LU2342243289,0.6
LU2342243362,0.9
LU2346853257,0.75
LU2351303867,0.7
LU2352863430,1.0
LU2352863513,1.0
LU2364419890,1.7
LU2384414632,1.0
LU2394801877,1.0
LU2401547067,0.38
LU2401550368,1.2
LU2401550954,1.2
LU2401589812,1.5
LU2409249609,0.85
LU2409249781,1.5
LU2427243485,1.0
LU2427243568,1.0
LU2441282543,
LU2441282626,0.9
LU2441282899,1.2
LU2441282972,1.2
LU2441283277,0.75
LU2441562746,1.5
LU2461273364,1.2
LU2505548938,1.2
LU2512261566,0.65
LU2531796352,1.2
LU2531796436,0.6
LU2531796519,0.9
LU2531796600,0.75
LU2531796865,
LU2541417809,1.0
LU2543851237,1.0
LU2543851310,1.0
LU2543851401,1.5
LU2543851583,0.65
LU2545422458,0.5
LU2548014708,0.75
LU2548014880,0.38
LU2548014963,0.65
LU2548015002,0.36
LU2548015184,0.75
LU2548015267,0.38
LU2548015341,0.65
LU2548015424,0.36
LU2548015697,
LU2548015770,0.38
LU2548016075,
LU2553542486,1.0
LU2564094709,1.0
LU2575866004,0.65
LU2577871176,0.65
LU2581803488,
LU2581803561,
LU2581803645,
LU2581803728,0.36
LU2584107002,
LU2584112341,
LU2589257349,0.85
LU2589257422,0.85
LU2599888455,
LU2614965189,0.6
LU2637236436,0.5
LU2637236519,0.5
LU2637236782,0.6
LU2637236865,0.5
LU2645735056,0.36
LU2645735130,1.0
LU2660304283,1.2
LU2660304440,1.2
LU2660304796,0.4
LU2660304879,0.7
LU2660304952,0.6
LU2660305090,1.0
LU2660305173,1.2
LU2660305256,
LU2660381604,1.2
LU2660381786,0.4
LU2660381943,0.6
LU2687208392,0.0
LU2715956624,1.5
LU2725961234,1.5
LU2740296764,
LU2751675765,0.6
LU2760873559,
LU2780518978,
LU2804514870,
LU2826601309,
LU2832951920,
LU2832952068,
LU2832952142,
LU2858015675,
US4710211057,0.47
US4710212048,0.64
US4710213038,0.52
US4710213111,0.75
US4710213293,0.75
US4710214028,0.55
US4710214366,0.5
US4710214515,0.5
US4710215017,0.5
US4710215504,0.64
US4710215686,0.64
US4710216189,0.48
US4710216429,0.52
US4710216676,0.79
US4710216759,0.47
US4710216833,0.5
US4710216916,0.55
US4710217096,0.79
US4710217179,0.64
US4710218656,0.48
US4710232004,0.6
US4710232343,0.44
US4710232426,0.44
US4710232590,0.44
US4710232673,0.44
US4710232756,0.48
US4710232830,0.48
US4710232913,0.48
US4710233093,0.52
US4710233176,0.48
US4710233259,0.64
US4710233333,0.64
US4710233416,0.64
US4710233580,0.64
US4710234570,0.64
US4710234653,0.64
US4710234737,0.64
US4710234810,0.64
US4710234992,0.05
US4710235072,0.64
US4710235155,0.05
US4710235239,0.05
US4710235494,0.64
US4710235643,0.53
US4710235726,0.53
US4710235981,0.45
US4710236062,0.41
US4710236484,0.64
US4710236559,0.6
US4710236633,0.64
US4710236716,0.64
US4710237623,0.59
US4710238043,0.64
US4710238209,0.2
US4710238381,0.2
US4710238464,0.74
US4710238530,0.48
US4710238795,0.55
US4710238878,0.44
US47103A1043,0.05
US47103A2033,0.05
US47103A3023,0.05
US47103A4013,0.05
US47103A5002,0.05
US47103A5671,0.77
US47103A5754,0.77
US47103A5838,0.77
US47103A5911,0.77
US47103A6091,0.05
US47103A6174,0.77
US47103A6257,0.47
US47103A6331,0.47
US47103A6414,0.47
US47103A6588,0.47
US47103A6661,0.47
US47103A6745,0.47
US47103A6828,0.5
US47103A6901,0.5
US47103A7081,0.05
US47103A7164,0.5
US47103A7248,0.5
US47103A7321,0.5
US47103A8071,0.05
US47103A8568,0.05
US47103A8642,0.05
US47103A8725,0.05
US47103A8808,0.05
US47103B1026,
US47103B5084,
US47103C1678,0.53
US47103C1751,0.53
US47103C1835,0.53
US47103C1918,0.53
US47103C2171,0.53
US47103C2254,0.45
US47103C2338,0.45
US47103C2411,0.45
US47103C2585,0.45
US47103C2668,0.45
US47103C2742,0.52
US47103C2825,0.52
US47103C2908,0.52
US47103C3161,0.52
US47103C3245,0.52
US47103C3328,0.64
US47103C3401,0.64
US47103C3575,0.64
US47103C3658,0.64
US47103C3732,0.64
US47103C4490,0.74
US47103C4565,0.74
US47103C4649,0.74
US47103C4722,0.74
US47103C4805,0.74
US47103C4987,0.64
US47103C5067,0.55
US47103C5141,0.64
US47103C5224,0.64
US47103C5307,0.64
US47103C5489,0.64
US47103C5554,0.59
US47103C5638,0.59
US47103C5711,0.59
US47103C5893,0.59
US47103C5976,0.59
US47103C6057,0.55
US47103C6131,0.6
US47103C6214,0.6
US47103C6396,0.6
US47103C6479,0.6
US47103C6545,0.6
US47103C7048,0.55
US47103C7204,0.41
US47103C7386,0.41
US47103C7469,0.41
US47103C7535,0.41
US47103C7618,0.41
US47103C7790,0.64
US47103C7873,0.64
US47103C7956,0.64
US47103C8038,0.55
US47103C8111,0.64
US47103C8293,0.64
US47103C8376,0.6
US47103C8459,0.6
US47103C8525,0.6
US47103C8608,0.6
US47103C8780,0.6
US47103C8863,0.55
US47103D1081,0.55
US47103D1735,0.48
US47103D1818,0.64
US47103D1990,0.47
US47103D2071,0.6
US47103D2980,0.65
US47103D3145,0.5
US47103D3970,0.65
US47103D4051,0.64
US47103D4135,0.65
US47103D4218,0.65
US47103D4390,0.65
US47103D4473,0.65
US47103D4549,0.65
US47103D4622,0.65
US47103D4705,0.56
US47103D4887,0.56
US47103D4960,0.56
US47103D5041,0.41
US47103D5124,0.56
US47103D5207,0.56
US47103D5389,0.56
US47103D5462,0.56
US47103D6031,0.47
US47103D7286,0.53
US47103D7369,0.56
US47103D7443,0.45
US47103D7773,0.52
US47103D7856,0.64
US47103D7930,0.64
US47103D8193,0.44
US47103D8276,0.48
US47103D8359,0.74
US47103D8508,0.59
US47103D8680,0.6
US47103D8763,0.64
US47103E1221,0.5
US47103E1718,0.56
US47103E1890,0.56
US47103E1973,0.56
US47103E2054,0.55
US47103E2138,0.56
US47103E2211,0.56
US47103E2393,0.56
US47103E3045,0.6
US47103E3201,0.73
US47103E3383,0.73
US47103E3466,0.73
US47103E3532,0.73
US47103E3615,0.73
US47103E3797,0.73
US47103E3870,0.64
US47103E3953,0.64
US47103E4035,0.64
US47103E4118,0.64
US47103E4290,0.64
US47103E5024,0.41
US47103E6436,0.53
US47103E6501,0.45
US47103E6683,0.52
US47103E6766,0.64
US47103E6923,0.64
US47103E7004,0.64
US47103E7186,0.05
US47103E7269,0.05
US47103E7343,0.05
US47103E7426,0.44
US47103E7590,0.48
US47103E7756,0.74
US47103E7830,0.64
US47103E7913,0.2
US47103E8333,0.59
US47103E8416,0.6
US47103E8580,0.2
US47103E8663,0.64
US47103E8820,0.77
US47103U1007,0.3
US47103U1007,0.3
US47103U2096,0.3
US47103U2096,0.3
US47103U7467,0.49
US47103U7533,0.49
US47103U7798,0.35
US47103U7954,0.6
US47103U8119,0.55
US47103U8291,0.65
US47103U8457,0.22
US47103U8523,0.26
US47103U8861,0.23
US47103X4438,0.65
US47103X4503,0.65
US47103X4842,0.65
US47103X4925,0.65
US47103X5187,0.65
US47103X5260,0.65
US47103X5344,0.65
US47103X5591,1.0
US47103X5674,1.0
US47103X5914,1.0
US47103X6177,1.0
US47103X6250,1.0
US47103X6334,1.0
US47103X6417,1.0
US47103X6664,1.0
US47103X6748,1.0
US47103X7167,1.0
US47103X7241,1.0
US47103X7324,1.0
US47103X7407,1.0
US47103X7571,1.0
US47103X7738,0.75
US47103X7811,0.75
US47103X8231,0.75
US47103X8314,0.75
US47103X8496,0.75
US47103X8561,0.75
US47103X8645,0.75
US47103Y4742,0.0
US47103Y4825,0.6
US47103Y4908,0.6
US47103Y5160,0.6
US47103Y5327,0.75
US47103Y5400,0.75
US47103Y5574,0.75
US47103Y5657,0.75
US47103Y5731,0.75
US47103Y5814,0.75
US47103Y5996,0.75
US47103Y6150,0.75
US47103Y6234,0.77
US47103Y6317,0.64
US47103Y6499,0.73
US47103Y7711,0.52
US47103Y7893,0.52
US47103Y8214,0.52
US47103Y8396,0.52
US47103Y8479,0.52
US47103Y8545,0.52
US47103Y8628,0.52
US4710476056,
,0.52
,0.52
,0.52
,0.5
,0.52
,0.64
,1.5
,0.64
,0.64
,1.5
,0.52
,0.52
,0.5
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.6
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.41
,0.64
,0.41
,0.64
,0.41
,0.64
,0.41
,0.41
,0.41
,0.64
,0.6
,0.64
,0.6
,0.6
,0.6
,1.5
,1.5
,1.5
,1.5
,0.5
,0.5
,0.55
,0.48
,0.64
,0.52
,0.79
,0.47
,0.6
,0.6
,0.6
,0.64
,0.64
,0.47
,0.64
,0.64
,0.64
,0.53
,0.64
,0.41
,0.55
,0.55
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.5
,0.55
,0.55
,0.5
,0.64
,0.64
,0.64
,0.64
,0.5
,0.64
,0.64
,0.5
,0.55
,0.5
,0.64
,0.55
,0.64
,0.64
,0.64
,0.64
,0.55
,0.5
,0.79
,0.47
,0.52
,0.55
,0.52
,0.5
,0.64
,0.64
,0.64
,0.47
,0.64
,0.64
,0.79
,0.64
,0.41
,0.55
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.79
,0.64
,0.64
,0.5
,0.55
,0.64
,0.55
,0.55
,0.64
,0.41
,0.55
,0.59
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.52
,0.52
,0.52
,0.52
,0.52
,0.52
,0.5
,0.52
,0.5
,0.64
,0.79
,0.5
,0.55
,0.74
,0.52
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.64
,0.64
,0.64
,0.64
,0.64
,0.79
,0.64
,0.55
,0.5
,0.55
,0.5
,0.64
,0.64
,0.5
,0.5
,0.55
,0.5
,0.5
,0.41
,0.41
,0.59
,0.41
,0.59
,0.59
,0.5
,0.59
,0.59
,0.59
,0.59
,0.59
,0.59
,0.59
,0.59
,0.41
,0.64
,0.5
,0.64
,0.64
,0.64
,0.64
,0.5
,0.5
,0.64
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.64
,0.64
,0.64
,0.55
,0.5
,0.55
,0.64
,0.64
,0.5
,0.47
,0.55
,0.48
,0.64
,0.55
,0.5
,0.52
,0.79
,0.79
,0.55
,0.64
,0.64
,0.47
,0.47
,0.47
,0.47
,0.47
,0.47
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.64
,0.74
,0.64
,0.74
,0.64
,0.74
,0.47
,0.74
,0.74
,0.74
,0.74
,0.74
,0.74
,0.55
,0.74
,0.47
,0.55
,0.41
,0.74
,0.74
,0.74
,0.74
,0.55
,0.74
,0.74
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.55
,0.64
,0.74
,0.64
,0.45
,0.45
,0.41
,0.64
,0.64
,0.45
,0.74
,0.64
,0.64
,0.74
,0.64
,0.74
,0.74
,0.74
,0.64
,0.45
,0.64
,0.45
,0.65
,0.55
,0.47
,0.65
,0.55
,0.47
,0.47
,0.65
,0.47
,0.65
,0.55
,0.47
,0.65
,0.55
,0.55
,0.47
,0.55
,0.47
,0.65
,0.55
,0.47
,0.65
,0.55
,0.47
,0.65
,0.65
,0.47
,0.65
,0.55
,0.47
,0.65
,0.55
,0.55
,0.52
,0.65
,0.47
,0.47
,0.47
,0.47
,0.47
,0.47
,0.47
,0.74
,0.47
,0.45
,0.45
,0.45
,0.64
,0.45
,0.64
,0.47
,0.55
,0.74
,0.55
,0.65
,0.55
,0.47
,0.65
,0.55
,0.47
,0.45
,0.65
,0.55
,0.55
,0.64
,0.55
,0.55
,0.74
,0.52
,0.55
,0.52
,0.52
,0.48
,0.47
,0.47
,0.48
,0.47
,0.47
,0.48
,0.47
,0.47
,0.48
,0.48
,0.47
,0.48
,0.64
,0.48
,0.64
,0.48
,0.48
,0.5
,0.5
,0.5
,0.5
,0.5
,0.5
,0.47
,0.5
,0.5
,0.5
,0.64
,0.48
,0.48
,0.48
,0.5
,0.64
,0.64
,0.64
,0.47
,0.64
,0.5
,0.55
,0.79
,0.52
,0.5
,0.64
,0.47
,0.64
,0.5
,0.55
,0.79
,0.52
,0.5
,0.64
,0.64
,0.55
,0.64
,0.64
,0.64
,0.64
,0.64
,0.55
,0.52
,0.5
,0.5
,0.5
,0.47
,0.64
,0.79
,0.5
,0.55
,0.5
,0.52
,0.52
,0.64
,0.45
,0.45
,0.74
,0.74
,0.47
,0.64
,0.47
,0.64
,0.55
,0.64
,0.55
,0.55
,0.64
,0.74
,0.64
,0.64
,0.64
,0.47
,0.47
,0.47
,0.47
,0.47
,0.47
,0.64
,0.47
,0.47
,0.47
,0.47
,0.47
,0.64
,0.64
,0.47
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.5
,0.5
,0.79
,0.48
,0.55
,0.55
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.64
,0.5
,1.5
,0.55
,0.47
,0.64
,0.6
,0.64
,0.74
,0.6
