ISIN,AMC (M* Management Fee)
GB0009580571,0.5
GB0009604389,1.5
GB0009665448,1.5
GB0009732768,1.5
GB0009749127,1.5
GB0009751644,1.5
GB0030164460,1.5
GB0030388820,1.5
GB0030388937,1.5
GB0030617699,0.75
GB0030617707,1.5
GB0030714900,0.95
GB0030715089,0.95
GB0030956832,0.75
GB0030956949,1.5
GB0030997042,1.5
GB0030997158,1.5
GB0031034902,1.5
GB0031053118,1.5
GB0031108763,0.75
GB0031109514,0.75
GB0031250524,1.5
GB0031252678,1.5
GB0031252785,1.5
GB0031263899,0.75
GB0031412744,1.5
GB0031412850,1.5
GB0031412967,0.75
GB0031413049,0.75
GB0031413593,1.5
GB0031429219,0.3
GB0031731259,1.5
GB0031833402,1.5
GB0031860595,1.5
GB0031860934,1.5
GB0031861015,1.5
GB0031919235,0.75
GB0031919342,1.5
GB0032046509,1.5
GB0032046616,1.25
GB0032049289,1.5
GB0032049396,1.25
GB0032209792,1.5
GB0032332784,1.5
GB0032377201,1.5
GB0032381765,1.15
GB0032385857,0.75
GB0032437948,1.5
GB0032438466,1.5
GB0032473653,0.75
GB0032477308,1.25
GB0032477522,0.5
GB0032477639,1.25
GB0032556929,1.25
GB0032557000,1.25
GB0032653676,1.5
GB0032653890,1.5
GB0032653908,1.5
GB0032733262,1.5
GB0033169425,1.5
GB0033169755,0.95
GB0033169862,1.5
GB0033189373,0.75
GB0033326587,1.5
GB0033326702,1.25
GB0033328526,1.5
GB0033328963,1.5
GB0033330712,1.15
GB0033330829,1.5
GB0033331017,0.75
GB0033331231,1.5
GB0033331678,1.5
GB0033332080,1.5
GB0033365312,1.15
GB0033514828,0.0
GB0033515122,0.0
GB0033681031,0.0
GB0033777896,1.25
GB0033822007,1.5
GB0033822999,1.5
GB0033840132,0.625
GB0033973560,1.25
GB0033997940,1.15
GB0033998021,1.15
GB0033998138,1.15
GB0034021427,0.625
GB0034021534,0.625
GB0034021641,0.625
GB0034219328,0.0
GB0034219435,1.5
GB0034219658,0.0
GB0034219989,0.0
GB0034276286,0.5
GB00B00K2P80,0.3
GB00B00K2Q97,0.3
GB00B00K2R05,0.0
GB00B00K2Z88,0.3
GB00B00K3006,0.3
GB00B00K3113,0.0
GB00B01RTS09,1.5
GB00B01T1F74,1.25
GB00B01T1G81,1.25
GB00B01T2Q54,1.25
GB00B020H958,0.0
GB00B02W2291,1.125
GB00B02ZBV03,0.5
GB00B02ZBX27,0.3
GB00B03TNM64,0.0
GB00B03TPL97,0.0
GB00B03WSZ36,0.625
GB00B046PC03,1.5
GB00B046PF34,1.5
GB00B068CD42,1.25
GB00B06CPG09,1.5
GB00B06G4Z40,1.125
GB00B06G5068,1.125
GB00B06G5514,1.125
GB00B06G5515,1.125
GB00B06G8Q39,1.5
GB00B06G8R46,1.5
GB00B06G8S52,1.5
GB00B06L7J47,
GB00B06LCP51,1.5
GB00B06T5279,1.5
GB00B06T5386,1.5
GB00B06T5493,1.5
GB00B06T5501,1.5
GB00B06T5618,1.5
GB00B06T5725,1.5
GB00B0C3X746,1.5
GB00B0C6K167,0.95
GB00B0C9GW89,0.95
GB00B0D09R62,0.3
GB00B0H34Y35,0.0
GB00B0H53J71,0.95
GB00B0HZFB34,1.5
GB00B0JYQW68,0.0
GB00B0K9KH36,1.25
GB00B0K9N298,1.25
GB00B0K9VW59,1.5
GB00B0K9XZ21,1.5
GB00B0LBR663,1.25
GB00B0LL7Q68,1.15
GB00B0LMB672,1.5
GB00B0LYSF14,0.3
GB00B0LYSG21,0.0
GB00B0LYSH38,0.5
GB00B0LZBB16,0.3
GB00B0MM5X18,1.25
GB00B0MM9F16,1.5
GB00B0N31573,1.5
GB00B0P42H77,1.5
GB00B0P7Y922,1.25
GB00B0PG4T93,1.5
GB00B0PKSC27,0.625
GB00B0YVM244,1.5
GB00B0YVM467,1.25
GB00B0YVNT86,1.15
GB00B0Z1MP63,1.5
GB00B0Z53118,1.5
GB00B0ZDNH16,1.25
GB00B0ZGLT86,0.5
GB00B0ZGMC84,0.5
GB00B0ZGMF16,0.5
GB00B0ZKHN66,1.25
GB00B0ZL9T97,1.5
GB00B0ZL9V10,1.5
GB00B0ZLB823,1.5
GB00B0ZLB930,1.5
GB00B0ZLCP68,1.5
GB00B0ZLCQ75,1.5
GB00B0ZLFF75,0.0
GB00B0ZY6B93,1.5
GB00B10QS005,1.5
GB00B10QS336,1.5
GB00B10QS559,0.95
GB00B11PYN15,1.5
GB00B11Q0P86,1.5
GB00B11Q0R01,1.5
GB00B11TDF81,1.15
GB00B11TDH06,1.5
GB00B11XYG89,1.5
GB00B13ZX323,1.25
GB00B13ZY511,1.5
GB00B1438639,1.5
GB00B1442M04,1.5
GB00B1443T48,1.5
GB00B17KPM65,1.15
GB00B17M7824,0.625
GB00B17M7931,1.5
