ISIN,UCITS, UCITS KIID Ongoing Charge,UCITS KIID Ongoing Charge Date
GB0031252785,Yes,,
GB0031263899,Yes,0.85,2024-02-12 00:00:00
GB0031412744,No,2.02,2024-02-12 00:00:00
GB0031412850,No,2.02,2024-02-12 00:00:00
GB0031412967,No,2.02,2024-02-12 00:00:00
GB0031413049,No,2.02,2024-02-12 00:00:00
GB0031413593,No,2.06,2024-02-12 00:00:00
GB0031429219,No,,
GB0031731259,Yes,,
GB0031833402,Yes,1.73,2024-02-12 00:00:00
GB0031860595,Yes,1.74,2024-02-12 00:00:00
GB0031860934,Yes,1.75,2024-02-12 00:00:00
GB0031861015,Yes,1.85,2024-02-12 00:00:00
GB0031919235,Yes,0.83,2024-02-12 00:00:00
GB0031919342,Yes,1.74,2024-02-12 00:00:00
GB0032046509,Yes,,
GB0032046616,Yes,,
GB0032049289,Yes,,
GB0032049396,Yes,,
GB0032209792,Yes,,
GB0032332784,Yes,,
GB0032377201,No,,
GB0032381765,Yes,,
GB0032385857,Yes,,
GB0032437948,Yes,1.65,2024-07-31 00:00:00
GB0032438466,Yes,1.65,2024-04-10 00:00:00
GB0032473653,Yes,0.88,2024-07-31 00:00:00
GB0032477308,Yes,1.4,2024-07-31 00:00:00
GB0032477522,Yes,0.57,2024-07-31 00:00:00
GB0032477639,Yes,1.4,2024-07-31 00:00:00
GB0032556929,Yes,,
GB0032557000,Yes,,
GB0032653676,Yes,,
GB0032653890,Yes,,
GB0032653908,Yes,,
GB0032733262,Yes,,
GB0033169425,Yes,,
GB0033169755,Yes,,
GB0033169862,Yes,,
GB0033189373,Yes,,
GB0033326587,Yes,,
GB0033326702,Yes,,
GB0033328526,Yes,,
GB0033328963,Yes,,
GB0033330712,Yes,,
GB0033330829,Yes,,
GB0033331017,Yes,,
GB0033331231,Yes,,
GB0033331678,Yes,,
GB0033332080,Yes,,
GB0033365312,Yes,,
GB0033514828,Yes,0.02,2024-02-12 00:00:00
GB0033515122,Yes,0.04,2024-02-12 00:00:00
GB0033681031,Yes,0.07,2024-02-12 00:00:00
GB0033777896,Yes,,
GB0033822007,Yes,,
GB0033822999,Yes,,
GB0033840132,Yes,,
GB0033973560,Yes,,
GB0033997940,Yes,,
GB0033998021,Yes,,
GB0033998138,Yes,,
GB0034021427,Yes,,
GB0034021534,Yes,,
GB0034021641,Yes,,
GB0034219328,Yes,0.07,2024-02-12 00:00:00
GB0034219435,Yes,1.73,2024-02-12 00:00:00
GB0034219658,Yes,0.07,2024-07-31 00:00:00
