ISIN,UCITS, UCITS KIID Ongoing Charge,UCITS KIID Ongoing Charge Date
GB00BJ0LGG33,Yes,0.64,2024-02-12 00:00:00
GB00BJ0LGH40,Yes,0.64,2024-02-12 00:00:00
GB00BJ0LGJ63,Yes,0.83,2024-07-31 00:00:00
GB00BJ0LGK78,Yes,1.23,2024-02-12 00:00:00
GB00BJ0LGL85,Yes,1.23,2024-03-20 00:00:00
GB00BJ0LGN00,Yes,1.18,2024-03-20 00:00:00
GB00BJ0LGP24,Yes,1.18,2024-03-20 00:00:00
GB00BJ0LGV83,Yes,1.23,2024-03-20 00:00:00
GB00BJ0LGW90,Yes,1.15,2024-04-10 00:00:00
GB00BJ0LGX08,Yes,1.18,2024-07-31 00:00:00
GB00BJLKXD51,Yes,,
GB00BJLKXF75,Yes,,
GB00BJLKXM43,No,,
GB00BJLKXN59,No,,
GB00BJLKY433,Yes,,
GB00BJLKY540,Yes,,
GB00BJTD6V58,No,0.77,2024-05-21 00:00:00
GB00BJTM2B40,Yes,0.49,2024-03-20 00:00:00
GB00BJTM2C56,Yes,0.48,2024-03-20 00:00:00
GB00BJVDKZ57,Yes,,
GB00BK016M61,Yes,,
GB00BK4W8967,Yes,0.7,2024-07-31 00:00:00
GB00BK4W8B89,Yes,0.7,2024-07-31 00:00:00
GB00BKP52584,Yes,0.28,2024-02-12 00:00:00
GB00BKP5XC23,Yes,,
GB00BKP5XD30,Yes,,
GB00BKP5XX36,No,,
GB00BKP5XY43,No,,
GB00BKP5ZQ09,Yes,,
GB00BKP5ZR16,Yes,,
GB00BKP5ZS23,Yes,,
GB00BKP5ZT30,Yes,,
GB00BKP65J61,Yes,,
GB00BKP65K76,Yes,,
GB00BKP65X06,No,,
GB00BKP65Y13,No,,
GB00BKP67236,Yes,,
GB00BKP67343,Yes,,
GB00BKP67459,Yes,,
GB00BKPHV137,No,0.65,2024-02-12 00:00:00
GB00BKPHV350,No,0.65,2024-02-12 00:00:00
GB00BKPJTG01,Yes,1.33,2024-02-12 00:00:00
GB00BKPJTH18,Yes,0.83,2024-07-31 00:00:00
GB00BKPJTJ32,Yes,0.7,2024-07-31 00:00:00
GB00BKPJWZ03,Yes,0.57,2024-02-12 00:00:00
GB00BKPJX022,Yes,0.54,2024-07-31 00:00:00
GB00BKPJXK25,Yes,0.54,2024-07-31 00:00:00
GB00BKPJXL32,Yes,0.54,2024-07-31 00:00:00
GB00BKRCQL10,Yes,0.91,2024-04-10 00:00:00
GB00BKRCQM27,Yes,0.91,2024-04-10 00:00:00
GB00BKSB1F65,Yes,0.09,2024-04-30 00:00:00
GB00BKSB1H89,Yes,0.77,2024-03-20 00:00:00
GB00BKSB1J04,Yes,0.77,2024-03-20 00:00:00
GB00BKSB1K19,Yes,0.49,2024-02-12 00:00:00
GB00BKSB1L26,Yes,0.49,2024-02-12 00:00:00
GB00BKSB1M33,Yes,0.09,2024-04-30 00:00:00
GB00BKTCQ643,Yes,0.45,2024-03-20 00:00:00
GB00BKTCQ759,Yes,0.45,2024-03-20 00:00:00
GB00BKTDJZ77,Yes,0.65,2024-03-20 00:00:00
GB00BKTDK099,Yes,0.65,2024-03-20 00:00:00
GB00BKXGGK60,Yes,1.68,2024-03-20 00:00:00
GB00BKYRW110,Yes,,
GB00BKYRW227,Yes,,
GB00BKYRW334,Yes,,
GB00BKYRW441,Yes,,
GB00BKYRW557,Yes,,
GB00BKYRW664,Yes,,
GB00BKYRW771,Yes,,
GB00BL1FVK72,Yes,0.28,2024-02-12 00:00:00
GB00BLCYFW36,Yes,0.54,2024-07-31 00:00:00
GB00BLCYFX43,Yes,0.54,2024-07-31 00:00:00
GB00BLH39230,Yes,0.85,2024-07-31 00:00:00
GB00BLKQKZ93,Yes,0.06,2024-02-12 00:00:00
GB00BLKQL237,Yes,0.06,2024-02-12 00:00:00
GB00BLKQL906,Yes,0.36,2024-02-12 00:00:00
GB00BLSNGB01,No,,
GB00BMCF8689,No,,
GB00BMDBB886,Yes,0.44,2024-07-31 00:00:00
GB00BMDBBG68,Yes,0.44,2024-07-31 00:00:00
GB00BMDBBK05,Yes,0.44,2024-07-31 00:00:00
GB00BMDBBL12,Yes,0.44,2024-07-31 00:00:00
GB00BMDBBM29,Yes,0.44,2024-07-31 00:00:00
GB00BMDZR592,Yes,1.0,2024-05-21 00:00:00
GB00BMDZR600,Yes,1.0,2024-05-21 00:00:00
GB00BMDZR717,Yes,0.47,2024-05-01 00:00:00
GB00BMDZR824,Yes,0.47,2024-05-01 00:00:00
GB00BMDZR931,Yes,0.12,2024-02-12 00:00:00
GB00BMDZRB59,Yes,0.12,2024-02-12 00:00:00
GB00BMX58Y51,Yes,0.57,2024-07-31 00:00:00
GB00BMX58Z68,Yes,0.56,2024-07-31 00:00:00
GB00BMY8B000,Yes,0.06,2024-02-12 00:00:00
GB00BN4NDR39,No,,
GB00BN7CMW56,Yes,0.87,2024-02-12 00:00:00
GB00BN7CMX63,Yes,0.87,2024-02-12 00:00:00
GB00BN7CMY70,Yes,0.64,2024-02-12 00:00:00
GB00BN7CMZ87,Yes,0.64,2024-02-12 00:00:00
GB00BNB7MY89,Yes,,
GB00BNB7MZ96,Yes,,
GB00BNB7N011,Yes,,
GB00BNB7N128,Yes,,
GB00BNB7N235,Yes,,
GB00BNXGHS27,No,,
GB00BNY89Y78,Yes,0.76,2024-07-31 00:00:00
GB00BPH3DD08,Yes,0.88,2024-03-20 00:00:00
GB00BPH3DF22,Yes,0.63,2024-02-12 00:00:00
GB00BPH3DG39,Yes,0.48,2024-02-12 00:00:00
GB00BPXXDJ03,Yes,0.75,2024-02-12 00:00:00
GB00BPXXDK18,Yes,0.88,2024-02-12 00:00:00
GB00BPXXDL25,Yes,0.88,2024-02-12 00:00:00
GB00BPXXDM32,Yes,0.1,2024-02-12 00:00:00
GB00BPXXDN49,Yes,0.1,2024-02-12 00:00:00
GB00BPXXDP62,Yes,0.75,2024-02-12 00:00:00
GB00BQ681623,No,,
GB00BRBTV673,No,,
GB00BRJL1650,Yes,,
GB00BRJL1P41,Yes,,
GB00BRJL1Q57,Yes,,
GB00BSHRGN41,No,,
GB00BV9GP888,Yes,,
GB00BV9GP995,Yes,,
GB00BV9GPB14,Yes,,
GB00BV9GPC21,Yes,,
GB00BV9GPD38,No,,
GB00BV9GPF51,No,,
GB00BVGH2D81,Yes,,
GB00BVRYYL03,Yes,1.4,2024-03-20 00:00:00
GB00BVZ6QT02,Yes,0.89,2024-03-20 00:00:00
GB00BW0DQF92,No,,
GB00BW0DQG00,No,,
GB00BW0DQH17,No,,
GB00BW0DQJ31,No,,
GB00BXVMC989,Yes,0.7,2024-07-31 00:00:00
GB00BYM2H885,Yes,0.03,2020-08-24 00:00:00
GB00BYX7N285,No,,
GB00BYYWQW34,Yes,,
GB00BYYWQY57,Yes,,
GB00BYYWR319,Yes,,
GB00BZ00WR55,Yes,0.47,2024-02-12 00:00:00
GB00BZ00WT79,Yes,0.47,2024-02-12 00:00:00
GB00BZ01TH77,No,,
GB00BZ01TJ91,No,,
GB00BZ01TK07,No,,
GB00BZ0RQH48,Yes,,
GB00BZ0RQJ61,Yes,,
GB00BZ15CY61,Yes,1.74,2024-07-31 00:00:00
IE0000OEM636,No,,
IE0000PUIKX8,Yes,0.85,2023-11-16 00:00:00
IE0001256803,Yes,1.92,2022-10-01 00:00:00
IE0001257090,Yes,1.92,2022-10-01 00:00:00
IE0001262298,Yes,3.42,2022-02-11 00:00:00
IE0001426232,Yes,1.08,2024-02-13 00:00:00
IE0001AGQT34,Yes,,
IE0001V42J54,Yes,,
IE0002122038,Yes,2.36,2024-02-13 00:00:00
IE0002128837,Yes,3.39,2022-02-11 00:00:00
IE0002141913,Yes,1.54,2024-02-13 00:00:00
IE0002167009,Yes,2.41,2024-03-20 00:00:00
IE0002167660,Yes,3.42,2022-02-11 00:00:00
IE0002175093,Yes,1.59,2024-03-20 00:00:00
IE0002EYHYY1,Yes,0.72,2023-10-19 00:00:00
IE00043S3004,Yes,,
IE0004444828,Yes,2.5,2024-02-13 00:00:00
IE0004445015,Yes,1.87,2024-02-13 00:00:00
IE0004445239,Yes,2.13,2024-02-13 00:00:00
IE0004445676,Yes,1.92,2022-10-01 00:00:00
IE0004445783,Yes,1.9,2022-10-01 00:00:00
IE0004446757,Yes,1.89,2022-10-01 00:00:00
IE0004446971,Yes,1.92,2024-02-13 00:00:00
IE00044Z4IJ4,Yes,,
IE0004858456,Yes,0.88,2022-10-01 00:00:00
IE0004858563,Yes,0.9,2024-02-13 00:00:00
IE000495KIK3,Yes,0.88,2022-10-01 00:00:00
IE0004XWWXA2,Yes,,
IE000534SO58,Yes,,
IE00055RXH32,Yes,,
IE0005BJK3Q0,Yes,0.5,2024-02-13 00:00:00
IE0005CE4D33,Yes,,
IE0005OL40V9,Yes,,
IE0005OODHM3,Yes,,
IE00064HGHF2,Yes,,
IE0006WLFKW8,Yes,,
IE00074FGIA4,Yes,,
IE0007RV6TK3,Yes,,
IE000832UYS6,Yes,,
IE0008I0JXW0,Yes,,
IE0009354923,Yes,2.46,2024-02-13 00:00:00
IE0009355771,Yes,2.36,2024-02-13 00:00:00
IE0009356076,Yes,2.41,2022-10-01 00:00:00
IE0009511647,Yes,2.4,2022-10-01 00:00:00
IE0009514872,Yes,1.17,2022-10-01 00:00:00
IE0009514989,Yes,1.87,2024-02-13 00:00:00
IE0009515622,Yes,0.86,2024-02-13 00:00:00
IE0009516141,Yes,1.9,2022-10-01 00:00:00
IE0009516588,Yes,2.92,2022-02-11 00:00:00
IE0009516810,Yes,0.63,2022-10-31 00:00:00
IE0009516927,Yes,0.62,2024-02-13 00:00:00
IE0009530639,Yes,1.87,2022-10-01 00:00:00
IE0009531157,Yes,2.88,2022-02-11 00:00:00
IE0009531603,Yes,0.72,2022-10-01 00:00:00
IE0009531710,Yes,0.75,2024-02-13 00:00:00
IE0009531827,Yes,2.14,2022-10-01 00:00:00
IE0009532122,Yes,1.02,2022-10-01 00:00:00
IE0009532239,Yes,1.02,2024-02-13 00:00:00
IE0009533641,Yes,0.88,2022-10-01 00:00:00
IE0009534052,Yes,0.47,2022-10-01 00:00:00
IE0009534169,Yes,2.42,2022-10-31 00:00:00
IE0009534383,Yes,3.41,2022-02-11 00:00:00
IE0009534508,Yes,1.6,2022-10-31 00:00:00
IE0009AZINF1,Yes,,
IE0009MIBWU7,Yes,2.11,2022-10-31 00:00:00
IE0009P37MJ7,Yes,,
IE0009RAWLQ0,Yes,,
IE000AHNH3N2,Yes,0.67,2023-09-11 00:00:00
IE000BL343U6,Yes,,
IE000DVZ2FO4,Yes,,
IE000DYN3WR1,Yes,,
IE000EQSL973,Yes,,
IE000F1A4UV3,Yes,,
IE000FMB0163,Yes,1.9,2022-10-01 00:00:00
IE000FXF8HX8,Yes,0.7,2024-03-20 00:00:00
IE000G3N3NE7,Yes,,
IE000GP4O479,Yes,2.93,2022-10-01 00:00:00
IE000H2VA905,Yes,,
IE000HDDZ8A5,Yes,,
IE000HYW6F07,Yes,,
IE000IZDQ0S8,No,,
IE000K4645T9,Yes,,
IE000KJSGS14,Yes,,
IE000KLTS776,Yes,,
IE000KUH9ZH5,Yes,,
IE000L47VFB1,Yes,,
IE000MYR0A73,Yes,,
IE000N76ZS77,Yes,,
IE000OAAX4F2,Yes,,
IE000Q70BG31,Yes,,
IE000QGLM3Y7,Yes,,
IE000QHKSTA0,Yes,,
IE000QV9L9H5,Yes,,
IE000RUGMMJ8,Yes,,
IE000S525MX2,Yes,,
IE000S6FYYI6,Yes,,
IE000SYNS5I3,Yes,,
IE000TXTBWM7,Yes,0.79,2024-03-20 00:00:00
IE000U1TEQK8,Yes,,
IE000UIBHNK4,Yes,,
IE000UXG03U9,Yes,,
IE000V3UWH37,Yes,,
IE000V5XP672,Yes,,
IE000VQFWE96,Yes,,
IE000VYSP3A8,Yes,,
IE000W6OIVB6,Yes,1.89,2022-10-01 00:00:00
IE000WX1VW28,Yes,2.4,2022-10-01 00:00:00
IE000XEN1F67,Yes,2.86,2022-10-01 00:00:00
IE000XWBFHZ3,Yes,,
IE000YJW2O06,Yes,0.62,2023-02-13 00:00:00
IE000YN37IJ9,Yes,,
IE000YSTHZ65,Yes,,
IE000YTZ5BP2,Yes,,
IE000ZC4REL0,Yes,,
IE000ZGL4571,Yes,,
IE000ZZO4GG7,Yes,,
IE0030804631,No,,
IE0030804748,No,,
IE0030805042,No,,
IE0030805158,No,,
IE0030805489,No,,
IE0030805596,No,,
IE0030805828,No,,
IE0030805935,No,,
IE0030806230,No,,
IE0030806347,No,,
IE0031118791,Yes,3.4,2022-02-11 00:00:00
IE0031118809,Yes,2.88,2022-02-11 00:00:00
IE0031118916,Yes,3.15,2022-02-11 00:00:00
IE0031119104,Yes,2.9,2022-02-11 00:00:00
IE0031119211,Yes,2.9,2022-02-11 00:00:00
IE0031119328,Yes,2.89,2022-02-11 00:00:00
IE0031119435,Yes,2.89,2022-02-11 00:00:00
IE0031119542,Yes,2.09,2022-02-11 00:00:00
IE0031119658,Yes,2.1,2022-02-11 00:00:00
IE0033532841,No,,
IE0033532957,No,,
IE0033534441,Yes,2.17,2022-10-31 00:00:00
IE0033534557,Yes,2.18,2022-10-31 00:00:00
IE0033534664,Yes,3.19,2022-02-11 00:00:00
IE0033534771,Yes,3.19,2022-02-11 00:00:00
IE0033534888,Yes,1.11,2024-02-13 00:00:00
IE0033534995,Yes,2.17,2022-10-31 00:00:00
IE0033933767,No,,
IE0033934393,No,,
IE0033934955,No,,
IE0033935580,No,,
IE0033936117,No,,
IE0033936331,No,,
IE00B0332L05,No,,
IE00B0332S73,No,,
IE00B2B35J52,Yes,2.38,2022-10-01 00:00:00
IE00B2B35R37,Yes,1.9,2022-10-01 00:00:00
IE00B2B35V72,Yes,1.05,2022-10-01 00:00:00
IE00B2B35Y04,Yes,1.02,2024-02-13 00:00:00
IE00B2B35Z11,Yes,2.47,2024-02-13 00:00:00
IE00B2B36255,Yes,1.65,2024-02-13 00:00:00
IE00B2B36G96,Yes,1.55,2024-02-13 00:00:00
IE00B2B36J28,Yes,1.54,2024-02-13 00:00:00
IE00B2B36Q94,Yes,1.6,2024-02-13 00:00:00
IE00B2B36V48,Yes,0.85,2022-10-01 00:00:00
IE00B2B37667,Yes,1.11,2024-02-13 00:00:00
IE00B2B37881,Yes,0.46,2022-10-01 00:00:00
IE00B2N6J677,Yes,1.2,2024-02-13 00:00:00
IE00B3LF0Q09,Yes,2.64,2022-10-01 00:00:00
IE00B3LF0X75,Yes,2.11,2022-10-01 00:00:00
IE00B3PWP390,Yes,1.36,2022-10-31 00:00:00
IE00B3Q2NJ00,Yes,1.33,2022-10-31 00:00:00
IE00B3R7SC21,Yes,1.89,2022-10-31 00:00:00
IE00B3RVJ987,Yes,2.16,2022-10-01 00:00:00
IE00B3S2VD85,Yes,2.88,2022-10-01 00:00:00
IE00B3TND124,Yes,2.9,2022-10-01 00:00:00
IE00B3VXZV45,Yes,2.9,2022-10-01 00:00:00
IE00B3ZM0R87,Yes,1.16,2022-10-31 00:00:00
IE00B3ZSZ594,Yes,0.6,2024-02-13 00:00:00
IE00B40J9K78,Yes,0.6,2024-02-13 00:00:00
IE00B40RV384,Yes,1.16,2022-10-31 00:00:00
IE00B41CXQ90,Yes,1.11,2024-02-13 00:00:00
IE00B43M7D28,Yes,1.15,2022-10-31 00:00:00
IE00B44BD966,Yes,2.89,2022-10-31 00:00:00
IE00B4JS1V06,Yes,1.89,2024-02-13 00:00:00
IE00B4LJMZ29,Yes,0.6,2024-02-13 00:00:00
IE00B4Q8M094,Yes,0.6,2024-02-13 00:00:00
IE00B4R5TH58,Yes,2.37,2022-10-01 00:00:00
IE00B4ZY3X89,Yes,1.93,2024-02-13 00:00:00
IE00B5589841,Yes,1.93,2022-10-01 00:00:00
IE00B5949003,Yes,2.4,2022-10-01 00:00:00
IE00B59RGT74,Yes,0.74,2024-02-13 00:00:00
IE00B613WX69,Yes,0.0,2022-02-11 00:00:00
IE00B613X556,Yes,0.0,2022-02-11 00:00:00
IE00B613X663,Yes,0.0,2022-02-11 00:00:00
IE00B64HKL97,Yes,2.14,2022-10-01 00:00:00
IE00B67PWQ95,Yes,2.09,2022-10-01 00:00:00
IE00B6Q97T05,Yes,1.06,2022-10-01 00:00:00
IE00B6Q9B218,Yes,2.12,2022-10-01 00:00:00
IE00B6Q9PT69,Yes,2.37,2022-10-01 00:00:00
IE00B6QBS936,Yes,2.88,2022-10-01 00:00:00
IE00B6QC9F93,Yes,2.37,2022-10-01 00:00:00
IE00B6QCRZ57,Yes,1.07,2022-10-01 00:00:00
IE00B6QCZK62,Yes,2.13,2022-10-01 00:00:00
IE00B6QDJS55,Yes,2.62,2022-10-01 00:00:00
IE00B6QDLV23,Yes,2.14,2022-10-01 00:00:00
IE00B6QFF942,Yes,2.87,2022-10-01 00:00:00
IE00B6QG7K24,Yes,1.08,2022-10-01 00:00:00
IE00B6Y5G934,Yes,1.88,2022-10-01 00:00:00
IE00B6Y5KJ15,Yes,2.68,2022-10-31 00:00:00
IE00B6Y7ZF85,Yes,0.63,2022-10-01 00:00:00
IE00B755XC12,Yes,0.94,2024-02-13 00:00:00
IE00B775H168,Yes,1.87,2022-10-01 00:00:00
IE00B7D1PH00,Yes,0.87,2022-10-01 00:00:00
IE00B7GTJV38,Yes,1.91,2022-10-01 00:00:00
IE00B7GTM146,Yes,1.87,2022-10-01 00:00:00
IE00B7GTM815,Yes,1.87,2022-10-01 00:00:00
IE00B7KXQ091,Yes,1.87,2024-02-13 00:00:00
IE00B7Q0MG23,Yes,1.93,2022-10-01 00:00:00
IE00B7VGZP57,Yes,0.86,2024-02-13 00:00:00
IE00B7VHC356,Yes,2.67,2022-10-31 00:00:00
IE00B808G672,Yes,0.46,2022-10-01 00:00:00
IE00B83BYG91,Yes,1.88,2024-02-13 00:00:00
IE00B8DQ2F94,Yes,0.0,2022-02-11 00:00:00
IE00B8GQ0T69,Yes,0.86,2024-03-20 00:00:00
IE00B8W85S00,Yes,0.71,2024-04-10 00:00:00
IE00B8XY4Y67,Yes,0.66,2024-03-20 00:00:00
IE00B9520L40,Yes,0.91,2024-02-13 00:00:00
IE00B95B5D80,Yes,1.05,2024-02-13 00:00:00
IE00BD34XY49,Yes,1.28,2022-10-31 00:00:00
IE00BD351Z49,Yes,0.45,2024-02-13 00:00:00
IE00BD353363,Yes,0.45,2024-02-13 00:00:00
IE00BD355P21,Yes,0.6,2022-10-31 00:00:00
IE00BD358420,Yes,0.6,2024-02-13 00:00:00
IE00BD359501,Yes,1.29,2022-10-31 00:00:00
IE00BD359618,Yes,0.6,2024-02-13 00:00:00
IE00BD3RYX91,Yes,0.36,2022-02-11 00:00:00
IE00BD3RYY09,Yes,0.54,2022-02-11 00:00:00
IE00BD860F54,Yes,0.86,2024-02-13 00:00:00
IE00BD860G61,Yes,0.85,2024-02-13 00:00:00
IE00BD860H78,Yes,0.85,2024-02-13 00:00:00
IE00BD860J92,Yes,0.84,2024-02-13 00:00:00
IE00BD861K72,Yes,0.59,2024-02-13 00:00:00
IE00BD861N04,Yes,0.92,2024-02-13 00:00:00
IE00BD8D5Z14,Yes,0.49,2024-02-13 00:00:00
IE00BD8GP721,Yes,0.92,2024-02-13 00:00:00
IE00BDFDKX76,Yes,1.13,2024-02-13 00:00:00
IE00BF2GLT67,Yes,1.87,2022-10-01 00:00:00
IE00BF2GLV89,Yes,1.88,2022-10-01 00:00:00
IE00BF2GLW96,Yes,2.37,2022-10-01 00:00:00
IE00BF2GM042,Yes,2.39,2022-10-01 00:00:00
IE00BF2GM158,Yes,2.17,2022-10-31 00:00:00
IE00BFRSTF92,Yes,0.61,2024-02-13 00:00:00
IE00BFRSTG00,Yes,0.62,2024-02-13 00:00:00
IE00BFRSYJ83,Yes,0.86,2024-02-13 00:00:00
IE00BFRSYK98,Yes,0.85,2024-02-13 00:00:00
IE00BFRSYS74,Yes,0.87,2024-03-20 00:00:00
IE00BFRSYT81,Yes,0.9,2024-03-20 00:00:00
IE00BFRSYW11,Yes,1.05,2024-02-13 00:00:00
IE00BFRSYX28,Yes,0.51,2024-02-13 00:00:00
IE00BFRSYY35,Yes,0.5,2024-02-13 00:00:00
IE00BFRSYZ42,Yes,0.69,2024-02-13 00:00:00
IE00BFRSZ065,Yes,0.7,2024-02-13 00:00:00
IE00BFRSZ172,Yes,0.94,2024-02-13 00:00:00
IE00BFRSZ289,Yes,0.94,2024-02-13 00:00:00
IE00BFRSZ511,Yes,0.86,2024-02-13 00:00:00
IE00BFRSZ628,Yes,0.87,2024-02-13 00:00:00
IE00BFSS7K90,Yes,2.37,2022-10-01 00:00:00
IE00BFSS7M15,Yes,1.87,2022-10-01 00:00:00
IE00BFSS7W13,Yes,0.85,2022-10-01 00:00:00
IE00BFSS8623,Yes,0.85,2022-10-01 00:00:00
IE00BFSS8Q28,Yes,1.85,2022-10-01 00:00:00
IE00BFTCP959,Yes,2.38,2022-10-01 00:00:00
IE00BFTCPJ56,Yes,2.37,2022-10-01 00:00:00
IE00BHC8SV77,Yes,2.41,2022-10-01 00:00:00
IE00BJJMRX11,Yes,1.86,2022-10-01 00:00:00
IE00BJJMRY28,Yes,1.85,2022-10-01 00:00:00
IE00BJJMRZ35,Yes,1.56,2022-10-01 00:00:00
IE00BJT1NW94,Yes,2.37,2022-10-01 00:00:00
IE00BJVNGR98,Yes,1.35,2024-02-13 00:00:00
IE00BJVNGS06,Yes,1.35,2024-02-13 00:00:00
IE00BJVNGT13,Yes,1.35,2022-10-31 00:00:00
IE00BJVNGV35,Yes,1.35,2022-10-31 00:00:00
IE00BJVNGW42,Yes,1.35,2022-10-31 00:00:00
IE00BJVNGX58,Yes,1.35,2022-10-31 00:00:00
IE00BJVNGY65,Yes,1.83,2022-10-31 00:00:00
IE00BJVNGZ72,Yes,1.84,2022-10-31 00:00:00
IE00BJVNH100,Yes,0.73,2024-02-13 00:00:00
IE00BJVNH654,Yes,1.73,2022-02-11 00:00:00
IE00BJVNH761,Yes,1.73,2022-02-11 00:00:00
IE00BJXT4158,Yes,0.81,2022-10-31 00:00:00
IE00BJXT4265,Yes,0.81,2022-10-31 00:00:00
IE00BK26DX94,Yes,1.86,2022-10-01 00:00:00
IE00BK7YST97,No,,
IE00BK7YSV10,No,,
IE00BKDM8C03,Yes,1.05,2022-10-31 00:00:00
IE00BKKNGZ56,Yes,0.69,2024-02-13 00:00:00
IE00BKKNH416,Yes,0.59,2024-02-13 00:00:00
IE00BLK24558,Yes,1.35,2022-10-31 00:00:00
IE00BLTVXS96,Yes,1.05,2022-10-31 00:00:00
IE00BLWF5C65,Yes,1.7,2022-10-31 00:00:00
IE00BLWF5D72,Yes,0.7,2024-02-13 00:00:00
IE00BLWF5L56,Yes,0.54,2023-02-13 00:00:00
IE00BLWF5N70,Yes,1.7,2022-10-31 00:00:00
IE00BLWF5Q02,Yes,1.05,2022-10-31 00:00:00
IE00BLWF5R19,Yes,0.55,2023-02-13 00:00:00
IE00BLY1N394,Yes,1.05,2022-10-31 00:00:00
IE00BLY1N519,Yes,1.7,2022-10-31 00:00:00
IE00BLY1N626,Yes,0.7,2022-10-31 00:00:00
IE00BLY1NC86,Yes,1.05,2022-10-31 00:00:00
IE00BLY1NF18,Yes,1.7,2022-10-31 00:00:00
IE00BLY27S52,Yes,1.04,2022-10-31 00:00:00
IE00BM67H965,Yes,1.05,2022-10-31 00:00:00
IE00BM7WZP25,Yes,0.0,2022-02-11 00:00:00
IE00BM9M0223,No,,
IE00BM9M0330,No,,
IE00BM9M0447,No,,
IE00BM9M0553,No,,
IE00BM9M0660,No,,
IE00BM9M0777,No,,
IE00BMDXR423,Yes,1.84,2022-10-31 00:00:00
IE00BMF1KR89,Yes,0.71,2022-10-01 00:00:00
IE00BMF1KS96,Yes,0.77,2022-10-31 00:00:00
IE00BMXMTS70,Yes,2.36,2022-10-01 00:00:00
IE00BMXMTT87,Yes,0.91,2022-10-01 00:00:00
IE00BMXMTZ48,Yes,1.61,2022-10-01 00:00:00
IE00BMXMV038,Yes,0.46,2022-10-01 00:00:00
IE00BMXMV145,Yes,2.36,2022-10-01 00:00:00
IE00BN29S457,Yes,0.68,2022-10-01 00:00:00
IE00BN29S564,Yes,1.85,2022-10-01 00:00:00
IE00BN29S671,Yes,0.85,2024-02-13 00:00:00
IE00BN29S788,Yes,0.85,2022-10-01 00:00:00
IE00BN29S895,Yes,2.34,2022-10-01 00:00:00
IE00BN29S903,Yes,0.58,2022-10-01 00:00:00
IE00BN29SB22,Yes,1.28,2022-10-31 00:00:00
IE00BRJ9D748,Yes,0.86,2024-02-13 00:00:00
IE00BRJG6X20,Yes,1.55,2024-02-13 00:00:00
IE00BRJG6Y37,Yes,0.86,2024-02-13 00:00:00
IE00BRJG7840,Yes,0.85,2024-02-13 00:00:00
IE00BZ76W439,Yes,0.95,2024-02-13 00:00:00
IE00BZ771832,Yes,0.95,2024-02-13 00:00:00
IE00BZ775C54,Yes,1.45,2024-02-13 00:00:00
IE00BZ775F85,Yes,1.45,2024-02-13 00:00:00
IE00BZ777T61,Yes,1.7,2022-10-01 00:00:00
IE00BZ77D437,Yes,0.95,2024-02-13 00:00:00
JE00B1GXH751,,,
LU0011889846,Yes,1.87,2024-02-14 00:00:00
LU0011889929,Yes,1.89,2024-02-14 00:00:00
LU0011890265,Yes,1.88,2024-02-14 00:00:00
LU0011890851,Yes,2.07,2024-02-14 00:00:00
LU0046217351,Yes,1.87,2024-02-14 00:00:00
LU0070992663,Yes,1.87,2024-02-14 00:00:00
LU0088927925,Yes,1.87,2024-02-14 00:00:00
LU0113993041,Yes,1.07,2024-02-14 00:00:00
LU0113993397,Yes,1.07,2024-02-14 00:00:00
LU0113993553,Yes,1.09,2022-10-31 00:00:00
LU0113993801,Yes,1.75,2024-02-14 00:00:00
LU0113993983,Yes,1.16,2022-10-01 00:00:00
LU0135928025,Yes,2.14,2022-10-31 00:00:00
LU0135928298,Yes,2.14,2022-10-31 00:00:00
LU0135928611,Yes,2.15,2022-10-31 00:00:00
LU0150924321,Yes,1.63,2024-02-14 00:00:00
LU0196034317,Yes,1.0,2024-02-14 00:00:00
LU0196034663,Yes,1.0,2022-10-31 00:00:00
LU0196034820,Yes,1.0,2024-02-14 00:00:00
LU0196035553,Yes,1.0,2024-02-14 00:00:00
LU0196035983,Yes,1.0,2022-10-01 00:00:00
LU0196036015,Yes,1.0,2022-10-01 00:00:00
LU0200076213,Yes,1.64,2024-02-14 00:00:00
LU0200076999,Yes,1.64,2024-02-14 00:00:00
LU0200077294,Yes,1.64,2024-04-10 00:00:00
LU0200083342,Yes,1.63,2024-02-14 00:00:00
LU0201071890,Yes,1.63,2024-02-14 00:00:00
LU0201073169,Yes,1.76,2024-02-14 00:00:00
LU0201075453,Yes,1.63,2024-02-14 00:00:00
LU0201078713,Yes,1.64,2024-02-14 00:00:00
LU0209137206,Yes,1.87,2024-02-14 00:00:00
LU0209137388,Yes,1.87,2024-02-14 00:00:00
LU0209137628,Yes,1.0,2024-02-14 00:00:00
LU0209156925,Yes,1.87,2024-02-14 00:00:00
LU0209157493,Yes,1.0,2022-10-31 00:00:00
LU0209157659,Yes,1.0,2022-10-31 00:00:00
LU0209158467,Yes,1.87,2024-02-14 00:00:00
LU0209158541,Yes,1.0,2024-02-14 00:00:00
LU0210855028,Yes,1.63,2024-02-14 00:00:00
LU0210856778,Yes,1.64,2024-02-14 00:00:00
LU0229494629,Yes,1.91,2024-02-14 00:00:00
LU0229494975,Yes,1.92,2024-02-14 00:00:00
LU0229495352,Yes,1.0,2022-10-31 00:00:00
LU0247695934,Yes,2.48,2022-10-31 00:00:00
LU0247697476,Yes,2.49,2022-10-31 00:00:00
